0	0	0.0666667	0.133333	0.2	0.266667	0.333333	0.4	0.466667	0.533333	0.6	0.666667	0.733333	0.8	0.866667	0.933333	1	
0.00387437	0	0.101841	0.162175	0.186863	0.236524	0.339307	0.369779	0.470768	0.507537	0.575819	0.677563	0.765111	0.765111	0.831764	0.906342	1	
0.00615288	0	0.122527	0.179137	0.179137	0.218797	0.34282	0.352006	0.473181	0.492366	0.561598	0.683971	0.728329	0.767536	0.811238	0.890469	1	
0.00713622	0	0.131455	0.172998	0.183652	0.211147	0.344336	0.344336	0.474222	0.485818	0.555461	0.686737	0.712456	0.768583	0.80238	0.883618	1	
0.00849306	0	0.143773	0.164526	0.189882	0.200591	0.343783	0.356459	0.475658	0.476784	0.546992	0.690553	0.690553	0.770027	0.790156	0.874166	1	
0.00863894	0	0.145098	0.163615	0.190552	0.199456	0.343724	0.357762	0.475813	0.475813	0.546082	0.688657	0.691422	0.770182	0.788842	0.873149	1	
0.00935868	0	0.151632	0.159121	0.193856	0.193856	0.343431	0.364193	0.470421	0.475976	0.54159	0.679306	0.695714	0.770948	0.782358	0.868135	1	
0.00984743	0	0.15607	0.15607	0.18678	0.192827	0.343232	0.36856	0.46676	0.476086	0.538539	0.672955	0.698628	0.771469	0.777955	0.86473	1	
0.0104914	0	0.159373	0.16924	0.177456	0.19147	0.34297	0.374314	0.461937	0.476232	0.53452	0.664588	0.702467	0.772154	0.772154	0.860244	1	
0.0107266	0	0.16058	0.174051	0.174051	0.190974	0.342874	0.376416	0.460175	0.476285	0.533052	0.661532	0.703869	0.770335	0.772704	0.858605	1	
0.0111943	0	0.162979	0.162979	0.179315	0.189989	0.342684	0.380594	0.456672	0.476391	0.530133	0.655455	0.706658	0.766718	0.773798	0.855347	1	
0.0119932	0	0.161146	0.184159	0.188306	0.188306	0.342359	0.387733	0.450687	0.476572	0.525147	0.645075	0.711421	0.760539	0.775667	0.849782	1	
0.0121089	0	0.16088	0.187226	0.187226	0.188771	0.342312	0.388766	0.449821	0.476598	0.524425	0.643572	0.712111	0.759645	0.775937	0.848976	1	
0.0122273	0	0.160609	0.185001	0.189248	0.189248	0.342263	0.389825	0.448934	0.476625	0.523686	0.642033	0.712817	0.758729	0.776214	0.848151	1	
0.0137069	0	0.157214	0.157214	0.184743	0.204051	0.341661	0.403044	0.437851	0.47696	0.514452	0.622809	0.721638	0.747286	0.779675	0.837843	1	
0.0155795	0	0.144961	0.175835	0.179041	0.222788	0.340899	0.419776	0.423824	0.477384	0.502764	0.598478	0.732803	0.732803	0.784055	0.824797	1	
0.0158259	0	0.143349	0.178285	0.178291	0.225253	0.340799	0.421978	0.421978	0.47744	0.501226	0.595276	0.729497	0.732872	0.784632	0.823081	1	
0.0158264	0	0.143346	0.178289	0.178289	0.225258	0.340799	0.421969	0.421977	0.47744	0.501223	0.59527	0.729491	0.732872	0.784633	0.823077	1	
0.0195035	0	0.119285	0.154518	0.202277	0.262049	0.339302	0.35135	0.411756	0.478273	0.478273	0.547493	0.680162	0.733905	0.793233	0.79746	1	
0.0199578	0	0.116313	0.151582	0.20524	0.266594	0.339117	0.342626	0.410493	0.476378	0.479315	0.541591	0.674068	0.734033	0.794296	0.794296	1	
0.0201444	0	0.115092	0.150375	0.206458	0.268461	0.339041	0.339041	0.409974	0.475599	0.479744	0.539166	0.671564	0.734085	0.793222	0.794959	1	
0.0240313	0	0.0896589	0.125248	0.231814	0.307351	0.322217	0.395284	0.39917	0.459379	0.488663	0.488663	0.619421	0.735177	0.77087	0.808777	1	
0.0242566	0	0.0881847	0.123791	0.233283	0.309606	0.321242	0.398544	0.398544	0.458439	0.485233	0.488677	0.616398	0.73524	0.769575	0.809578	1	
0.0250684	0	0.0828728	0.118543	0.238579	0.317728	0.317728	0.3863	0.400304	0.455051	0.472872	0.488728	0.605508	0.735468	0.764906	0.812464	1	
0.0266808	0	0.0723229	0.10812	0.249097	0.310147	0.333258	0.361983	0.403799	0.448323	0.448323	0.488827	0.583878	0.735921	0.755634	0.818196	1	
0.0278431	0	0.0647176	0.100606	0.256679	0.304683	0.344454	0.344454	0.406318	0.434734	0.447581	0.488899	0.568285	0.736248	0.74895	0.822328	1	
0.0298935	0	0.0513016	0.0873514	0.270055	0.295042	0.353632	0.404305	0.410762	0.410762	0.446272	0.489026	0.540779	0.736824	0.737159	0.829617	1	
0.0299491	0	0.0509371	0.0869914	0.270418	0.29478	0.353882	0.405931	0.410028	0.4108	0.446237	0.489029	0.540032	0.736839	0.736839	0.829815	1	
0.0300458	0	0.0503045	0.0863663	0.271049	0.294326	0.354315	0.408753	0.408753	0.410865	0.446175	0.489035	0.538735	0.736357	0.73694	0.830159	1	
0.0311827	0	0.0428658	0.0790171	0.278465	0.288981	0.359404	0.359404	0.40758	0.41163	0.445449	0.489106	0.523484	0.730687	0.738127	0.8342	1	
0.0321195	0	0.0367362	0.0729611	0.284576	0.284576	0.35424	0.399098	0.406613	0.41226	0.444851	0.489163	0.510917	0.726015	0.739105	0.83753	1	
0.0322926	0	0.0356034	0.071842	0.28271	0.284653	0.353286	0.406434	0.406434	0.412377	0.444741	0.489174	0.508594	0.725151	0.739286	0.838146	1	
0.0328458	0	0.0319839	0.0682659	0.276747	0.2849	0.350237	0.388739	0.412749	0.412749	0.444388	0.489208	0.501174	0.722393	0.739864	0.840112	1	
0.0337336	0	0.0261746	0.0625265	0.267177	0.285296	0.345343	0.360339	0.412318	0.421857	0.443821	0.489263	0.489263	0.717965	0.740791	0.843269	1	
